creator_id,wallet_address,name,email,reputation_score,registered_at,status
308d26af-6825-4357-b557-a2c9916370c7,0x93446f17ed6457b1cbbee6e7fdb203dc137bcc0f,Donald Walker,rhodespatricia@example.org,8.55,2024-07-19 22:59:23,1
6bda6b18-d145-4b5f-a63e-e61a01e1d1b1,0xab4110dc8b7b2446f144dded33da87bdbe903c54,Daniel Wagner,hoffmanjennifer@example.net,6.55,2024-07-02 06:25:24,1
c8ae31fe-d472-464f-851d-c8c49d554c6a,0xceaff6348269e17def2e71a64632d91c8c24c02d,Donald Booth,helenpeterson@example.org,1.0,2024-02-25 06:04:13,1
bdfcae9a-fc05-42ac-a858-44ec3a0b18cd,0x761d6a1bf9580e75cfa815a19e7e69f30b50e138,Brandon Davis,cassandra07@example.net,1.88,2024-01-21 02:39:53,1
d240aed9-9d43-40c9-aa4a-3cc6dfd12de1,0x9cd52e58dcfc7bee1bfae889e674e81b2831cfbf,Juan Calderon,barbara10@example.net,7.42,2024-03-01 03:22:00,1
53f76ae8-cea2-48f2-9d6d-9c8ac7bb5d56,0xcdfeaee88ad132f0b2488c09e4ad862ad1b21c30,Dr. Sharon James,xreid@example.org,4.89,2024-04-25 09:32:15,1
5db519b9-0da4-4866-8a0f-825e690eeeb2,0xde8fb81dd7f7c6712c06fa64e687c301227da9eb,Mia Sutton,lynchgeorge@example.net,4.12,2024-03-07 17:00:14,1
b0c532b0-d439-4290-adec-71a80a70d450,0xfa25111b9109276f28afd818b62d3afd4fe3aadc,William Bowman,gabriellecameron@example.org,6.66,2024-03-01 14:05:00,1
3259c949-610c-45db-b1e4-c21603eb42e9,0xac6fca1e46ac41ed6bdd492602820137f611ce78,Jennifer Jones,jason76@example.net,4.82,2024-05-29 20:00:36,1
f3efc75b-7161-40bd-af7e-929bf2426e9f,0x5e07383fc5d1976edf3b7d204f15e07a1a922852,Patrick Ryan,zhurst@example.com,7.87,2024-02-26 19:25:06,1
1bd9de7f-399e-47b9-9ce4-6ad18126f143,0xa9340dc4cd73ee38fd8662c03f6ddd648240c93c,Johnny Campos,hernandezernest@example.net,5.71,2024-05-15 14:01:00,1
8bf62ac2-7a32-4524-9a0c-77fb5fb2939f,0xd5e7aa80dbed948f152550ca5c2b21fd1a9e0a67,Kyle Mcdonald,tasha01@example.net,9.38,2024-11-11 06:01:36,1
27dce4af-afaa-4022-8370-4b1610b3b162,0x0dfbc86ad6de9296cf92b2c6aec37c777fa94bd1,Martin Rodriguez,amoore@example.net,7.45,2024-11-07 18:44:30,1
7302c4d5-f886-40f4-b8f7-dd9ea9266bf6,0x8eff1121a8014252957d8211a3364b7ce3598d21,Pamela Romero,harrellkenneth@example.net,7.62,2024-06-17 18:57:42,1
9cc0e6e6-0e76-47fd-af78-aa7ce9b0c87d,0xd794882e56324d00609b89143c235f1aaf9429a5,Phillip Ryan,georgetracy@example.org,8.76,2024-11-28 11:01:39,1
3ab32ad8-d5af-4e19-adce-f987c3f99364,0x23a87ceb696aba8657622848b5a64c682ca7327d,Dr. Cynthia Allen,millertodd@example.org,5.06,2024-09-24 00:31:36,1
29dd4852-86fc-4db3-b711-25171e8ab24f,0x6fe33b2deb2d4f16cbbfd2e668f34e4a14bd8093,Matthew Arroyo,josephbrennan@example.com,2.32,2024-02-23 21:18:11,1
5efe3f16-67b4-4c3e-be35-9af3dfc4aded,0x215e10fcd56d8f84a4647be5e5e5033754a80a52,Melissa Marquez,pcarney@example.com,3.9,2024-05-21 18:35:22,1
f250aa26-3418-45c1-a15d-64bb93e22a33,0x40740ec9dfa6ff8cafbe3cabf6eb97338ed4b3a4,David Brown,chapmanjerry@example.org,1.96,2023-12-06 10:13:27,1
f8908a42-8c85-4afd-a05f-57a77efb0fa3,0x0615f894aaeb04b0b29c8055d04c065d1c97fea5,Crystal Whitehead,chad34@example.net,4.32,2024-06-09 03:35:30,1
e658a124-6081-486a-a1bb-50ecaf1fefb2,0xb6c1d0a8003eba14e62576c431be180e531f1d4d,Timothy Duncan,esanchez@example.com,5.68,2024-02-15 13:56:59,1
5f659d23-5632-44e7-bc76-1f6cad6d5100,0xd1535114f0f71fea4592fbab95dcd6c075925768,Heather Jenkins,nuneztracey@example.org,4.99,2023-12-27 04:09:06,1
255a3f94-044e-49ce-8870-faa425adae0b,0x588e294e486db83026ae052c1e77d2d651d26b11,Scott Wright,amandataylor@example.org,8.19,2024-03-20 19:25:47,1
74d89bbd-b092-4e8a-912b-0d00592468a2,0x09e637ff7d74149186e53ac39cc9f7a2393b55f6,Angela Morton,williamsyvette@example.org,8.35,2024-01-08 20:28:22,1
53a3def1-1e88-4eac-bfa4-50d76477faa1,0x2937df3927ae75623104ee316bff86f680cdf572,Carol Tucker,michellebarrera@example.org,9.93,2024-04-28 19:29:10,1
156ca920-95eb-4af6-b726-3af947a9eba5,0x79022452f89120da86643724ed8447994485d363,Timothy Glover,rodney87@example.org,0.71,2024-02-15 09:10:38,1
d839f93d-5955-4926-877d-aaaa8389c782,0x01ed45d1e3cc257df381ce396cfc2c1d7026e99f,Lauren Daniels,brian97@example.net,6.31,2024-11-24 16:30:35,1
e9012821-0e48-4927-b9c9-e6532314b286,0x39f7f55ffcff33bbeff46d4a1d459aafb5d37269,Tyler Miller,caseyjones@example.org,4.11,2024-05-08 10:39:42,1
778a8a80-2cfe-4424-aaf7-d36635a1bf0b,0x94bb856cffa0d9310575f9140e076ea5fb386fe9,Danielle Wheeler,barnesbrandy@example.net,0.6,2024-04-04 11:58:53,1
eab669fe-9d97-49c7-b186-0d77a7143c79,0x9a66f443fa5b0ff3b7840c82fcf9133891c5e7cd,Mike Allen,panderson@example.com,4.76,2024-05-29 04:50:33,1
017f5296-01dc-4e6e-a3bd-a61b37fe00d6,0xa865a728737e82b289bfad78c130d6093ad84080,Angel Ellis,jonesjason@example.com,7.03,2024-01-24 01:47:07,1
15baa529-343a-4ca4-9347-15a7e7721b43,0x79d9e8d6e841125e9df5c1000ea02e8bb55c62c9,Sherry Wood,samueldaniels@example.com,0.81,2024-07-28 04:27:02,1
f54a3d11-7794-474e-9c51-b6348163c0f7,0xd3f0c5424b3048f9b551efc0ece4d13128b973d9,Kendra Contreras,sarah12@example.com,8.65,2024-01-17 11:04:26,1
b77ea1c1-a7c3-460f-ba69-97ca13b4f946,0x157f62fd0bad5b4bc794ad19ffb7117173489013,Brittney Campbell,jenniferharris@example.net,9.79,2024-10-29 20:55:28,1
a8da133f-b453-44a8-8360-e8634cd746be,0x926478f16af643ccfb437601fbf5bd314f4f1f7f,Taylor Mathis Jr.,ccalderon@example.org,8.37,2024-04-11 04:10:23,1
9978f6b2-066b-4565-b873-ec732197c3dc,0x129037764c2b98b8d74ba0a3bfaf970e08b09adb,Deborah Figueroa,hhoffman@example.org,7.05,2024-11-10 14:20:56,1
485656f1-e36f-41d9-925b-201a5b1fb03c,0xf0344539c169c317e7b53dbecccee6e770ca238a,Andrew Wood,russellwilliams@example.com,6.44,2024-11-16 18:18:56,1
0491c7fa-e6ef-449b-86e4-0f875f5c9f91,0x9c56140f1369e633b2627379e82a953c3ad5adac,Amanda Howard,elizabethgomez@example.net,9.63,2024-11-10 23:56:00,1
4d4ce9b6-65cb-4faa-89f1-8b54c2e82a10,0xb1dd6a7db122618cc7cd99f3fc5723f86f0623f6,Nicole Frost,michellecherry@example.org,0.76,2024-11-09 22:35:43,1
128df73b-f22a-48a8-84db-0df84175e141,0xffa8296b35ac09db8049c8485434ed68366559ab,Tim Patton,vpham@example.org,5.79,2024-03-16 06:00:37,1
7d3a2b54-71a5-414e-9b6d-f423a08da3ca,0xc399b75df9b050d9abe323fd23b976c8951fb5e9,Janet Williams,dwalker@example.com,1.79,2024-03-31 03:47:09,1
d6e145ca-4a44-468a-be5a-85b69423e430,0x0b22828ce95b1c54bcf3b360721ee4d64fa5d1f6,Courtney Keller,emurphy@example.com,1.67,2024-04-18 00:07:11,1
2efd122c-203d-40ba-be6c-9fcc21959503,0x5d35034b058415a1641d89ef6bd925b5d2df9147,William Herrera,wilsontara@example.org,4.92,2024-07-16 02:41:21,1
11180f59-d0af-4b8c-b884-b0c5f8d611e2,0x156ea0c77d0108786feb92b44c9406b6c7b3f6f6,Brian Hamilton,samuel81@example.com,1.82,2024-11-16 23:11:33,1
03050cbc-cc3c-4554-847c-501e0820afe3,0x0bebb4aefec43cc0a5d6c642c7f5574d1b113fe5,Michael Smith,michaeljones@example.net,9.9,2024-11-25 05:24:26,1
a587b325-ec92-4cf9-a5d9-bed8d6431dff,0xf2bb4e2f6ff99f37dea864d2107748179db24d78,Ryan Cortez,william65@example.com,3.29,2024-08-30 09:39:15,1
37aa0098-20c0-4598-b424-d806e3b21812,0x89a2e36a893a4696beae53030fea4a54baf53a51,Jason Bentley,christinaturner@example.net,1.68,2024-10-22 10:04:57,1
306c4b3a-7b6f-4f0f-8752-2ea67210657f,0x2930b1accb88c630627aa76361e6d50c0e468290,Jeffrey Carpenter,steven73@example.net,0.43,2024-06-04 09:36:56,1
72470ff9-2f29-484d-8eba-9e65b4348c86,0xa5436822f19d9d6a7a03d702152a82935d926961,Nancy Hopkins,zachary95@example.org,0.69,2024-10-16 11:27:37,1
25df37a6-1de7-4839-af64-3ff7cfb4f075,0xef8c3023227923e9f9b2116b91b9a0ba099b5f2f,Eric Drake,andrewsanchez@example.com,4.58,2024-07-28 00:41:13,1
