backer_id,wallet_address,name,email,total_pledged,registered_at,status
ed508785-0cac-495d-8acf-09db055f8dc2,0x1e67b2c6e090fe0ad66a08a10d1f6e43b1d00b60,Jason Soto,jennifercruz@example.com,24830.79,2024-03-07 06:22:10,1
cfbf1ea7-d985-4938-945e-fed9c4c39b28,0xc99c727f09274a6c5e39b67233235ab21e58c70f,Stephanie Dalton,osbornejeffery@example.net,19023.260000000002,2024-06-21 15:59:09,1
48d4b8cd-6c77-4932-bccc-4f4e7fb53494,0x19af90937bb8d3ebcfc8bb400bafff61072803d8,Sylvia Martinez,lauriecontreras@example.net,8764.86,2024-07-21 18:17:15,1
9a132359-7d5b-4f8a-9e9c-92dab6da5d67,0x9bde7dd94f640a75c5136942b637e50eb187cf6f,Jessica Briggs,jrivas@example.com,11772.85,2024-11-15 22:51:19,1
2aca9df2-be1b-4d82-ae22-cc7124eb5cad,0x621d436663312e1c84520b956660cfa9162d831b,Joanna Walton,katie87@example.net,29593.93,2024-03-05 10:12:10,1
6bdae68e-8ab2-4190-861b-476dcb910153,0xe41a7c1e2f7838d940cc0bf01891533a039ccac6,Dustin Nelson,patricia12@example.org,24089.16,2024-03-02 07:46:58,1
27a21b2c-58ed-4841-9011-c3de689c7a9a,0x2437f7ba1bf88c25539c8ba76272c042abbe3ee3,Daniel Perry,amy60@example.org,8461.1,2024-10-21 23:22:41,1
c073cfe0-e093-44c0-9783-987bbc78c2c8,0xed4a5fdf52515eed634dfbcd1f192168a71b997e,Lauren Dominguez,wwoods@example.com,15860.84,2024-09-21 03:10:00,1
023dc789-5788-48e9-bfc9-565410e57c03,0xf177f0be3426dace9b61ba92e1b79c77b9799b49,Sara Medina,tracynelson@example.com,8092.43,2023-12-14 18:48:02,1
c5a299e7-9c95-4580-b210-79682f33c92f,0xecbda970b28f33fd94981863aca8112ef7f5c3ab,Rebecca Ramsey,ncalhoun@example.net,0.0,2023-12-13 23:36:54,1
d36f07b9-8516-4335-8189-f2b1ad693425,0xb1e4f2dbc84afb7591af06314ce068da0b96e69a,Mary Miller,dtaylor@example.org,1126.74,2023-12-23 00:57:23,1
824f8c0b-8426-4a55-b09e-19a83b920ae1,0x340dfd699bf25f290ce1901754c43b6599706f24,Jesse Rogers,aramirez@example.com,17630.86,2024-10-22 18:12:12,1
6e201971-2304-42ff-bda6-598d1e8492af,0xf763a4064eab991263026f71968989cd05a54211,Joshua Cooke,jeffrey10@example.org,0.0,2024-03-08 13:07:01,1
f22c09fa-81ae-4dd0-a558-860c4ff8ab5d,0x7b32c2e125182d954c31f1b0b0884a92bf618024,Christian Martinez,elliottjeffery@example.net,129.79,2024-03-12 00:38:02,1
a72c1e01-75a6-4908-8d99-c76ba2c93d24,0x5bb6ac3700857f9a6dde94b39dbdf9d631f58d06,Lawrence Adkins,stricklandfrank@example.com,2082.06,2024-01-14 11:49:23,1
1bc302c9-26bd-425e-8730-aa8f8f5bd20e,0xb3d18045d73fbe88aca02dee89aaec229b11f0a8,Laura Odonnell,tsanders@example.org,4324.94,2024-01-02 00:36:29,1
9990e932-d6d6-4ad4-88cd-e4e8fe11d242,0x36a08231456ea689590508ae7e786f1a5084a902,Dana Terry,melissa91@example.net,39693.46,2024-10-02 10:57:35,1
77a88e36-8637-46c5-b971-c54b03cbbad6,0x4ab8902cda69e838854ff3620ecfed2da8aac78d,Mary Jones,alexander67@example.org,35911.38,2024-05-19 21:00:02,1
3b0c6f75-fe92-49f4-a293-5eb92a1a14dc,0x078942353dc3eadc1a4e88335f559ebe30922d47,Sandra Zimmerman,hthompson@example.net,20181.82,2024-03-17 09:37:12,1
